,Date,Country,City,Specie,count,min,max,median,variance
156,04/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,27.5,65.39
157,10/01/2021,VN,Ho Chi Minh City,temperature,24,21.5,30.5,26.0,78.37
158,02/03/2020,VN,Ho Chi Minh City,temperature,24,26.0,35.0,28.0,99.55
159,06/03/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.0,28.0,64.93
160,13/04/2020,VN,Ho Chi Minh City,temperature,24,26.0,31.0,28.5,31.19
161,12/01/2021,VN,Ho Chi Minh City,temperature,24,21.0,30.5,24.5,97.32
162,13/01/2021,VN,Ho Chi Minh City,temperature,24,19.0,28.0,23.0,103.04
163,05/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,31.0,25.0,47.59
164,02/12/2020,VN,Ho Chi Minh City,temperature,24,24.0,33.0,27.5,89.13
165,06/05/2020,VN,Ho Chi Minh City,temperature,24,29.0,36.0,30.0,64.63
166,16/05/2020,VN,Ho Chi Minh City,temperature,24,25.5,35.5,30.0,74.57
167,26/07/2020,VN,Ho Chi Minh City,temperature,24,26.0,32.5,28.5,60.54
168,11/12/2020,VN,Ho Chi Minh City,temperature,24,24.0,30.5,27.5,41.7
169,24/03/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.0,27.5,73.47
170,12/07/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.5,27.0,76.29
171,22/08/2020,VN,Ho Chi Minh City,temperature,24,27.0,34.0,29.0,56.73
172,19/12/2020,VN,Ho Chi Minh City,temperature,24,24.5,31.0,26.5,54.71
173,23/12/2020,VN,Ho Chi Minh City,temperature,24,23.0,30.0,25.0,58.84
174,14/07/2020,VN,Ho Chi Minh City,temperature,24,24.5,35.5,29.0,141.09
175,24/07/2020,VN,Ho Chi Minh City,temperature,24,24.5,33.0,26.0,58.37
176,03/12/2020,VN,Ho Chi Minh City,temperature,24,22.5,33.0,27.0,113.26
177,02/08/2020,VN,Ho Chi Minh City,temperature,24,25.0,29.0,25.5,10.0
178,26/08/2020,VN,Ho Chi Minh City,temperature,24,27.0,35.0,29.5,71.59
179,28/10/2020,VN,Ho Chi Minh City,temperature,24,26.0,29.0,26.5,14.78
180,13/11/2020,VN,Ho Chi Minh City,temperature,24,24.0,31.0,27.5,62.81
181,02/01/2021,VN,Ho Chi Minh City,temperature,24,22.0,30.5,26.0,94.09
182,09/04/2020,VN,Ho Chi Minh City,temperature,24,26.0,35.0,28.0,70.43
183,02/06/2020,VN,Ho Chi Minh City,temperature,24,24.0,33.0,27.0,73.26
184,05/06/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.5,28.0,65.8
185,09/07/2020,VN,Ho Chi Minh City,temperature,24,24.5,34.0,30.0,97.06
